title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,methods,recipe_urls
Salted caramel burnt Basque cheesecake with chocolate sauce,Easy,Serves 10 - 12,Visit us on Tiktok,0 reviews,True,False,False,False,False,Prep:20 mins,,"['225g golden caster sugar', '250g double cream', '65g unsalted butter, plus extra for the tin', 'flaky sea salt', 'soft cheese', '4 eggs', '250g soured cream', '35g plain flour', '75ml whole milk', '75ml double cream', '100g dark chocolate, roughly chopped', '25g butter']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/GF241024Matty-026BasqueCheesecake-1fcb3cb.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/salted-caramel-burnt-basque-cheesecake-with-chocolate-sauce
Air fryer Christmas cake,Easy,plus overnight soaking and cooling ,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:20 mins,,"['raisins', 'sultanas', '100g dried apricots, roughly chopped', 'glacé cherries', 'mixed peel', ' ground mixed spice', '4 tbsp  brandy or rum, plus extra for feeding', '1 small  orange, zested and juiced', '2 tbsp golden syrup', '200g salted butter, at room temperature, plus extra for the tin', '200g light brown soft sugar', '4 eggs', '200g self-raising flour', '65g ground almonds']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerChristmasCake-0963c7f.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/air-fryer-christmas-cake
Frosty chocolate cookies,Easy,Serves 24,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:15 mins,,"['2 eggs', '175g caster sugar', '75g salted butter, melted', '150g self-raising flour', 'cocoa powder', '65g milk chocolate chips', '50g icing sugar']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerFrostedChocCookies-276ad2e.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/frosty-chocolate-cookies
Air fryer gingerbread,Easy,Makes 16-24 ,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:20 mins,,"['100g salted butter', '100g dark muscovado sugar', '3 tbsp golden syrup', '225g plain flour', '2 tsp ground ginger', '1 tsp ground cinnamon', '½ tsp  bicarbonate of soda', '2 tbsp milk', ', to decorate (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerGingerbreadMen-9ed9d04.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/air-fryer-gingerbread
Air fryer stollen bites,More effort,Makes 16-25 bites,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:20 mins,,"['150ml whole milk', '65g unsalted butter, plus extra for the tin', '300g strong white flour', '7g sachet fast-action dried yeast', '50g caster sugar', 'pinch of ground nutmeg', 'pinch of ground cloves', 'fine salt', 'raisins', 'sultanas', 'mixed peel', ', such as sunflower', '4 tbsp icing sugar, for dusting', '200g marzipan']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerStollenBites-afb6b22.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/air-fryer-stollen-bites
Air fryer apple pancakes,Easy,Serves 2,Visit us on Pinterest,0 reviews,True,False,False,False,False,Prep:5 mins,,"[', for the tin', '150g self-raising flour', '½ tsp baking powder', '2 tsp caster sugar', '1 egg', '200ml milk', '1 apple, cored and very thinly sliced', ' and maple syrup, or ice cream, to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerApplePancake-1a8d9e6.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/air-fryer-apple-pancakes-2
Air fryer baked camembert,Easy,Serves 2 - 4,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:5 mins,,"['camembert', 'few rosemary sprigs, each cut into 3-4 pieces', '6 garlic cloves, peeled and sliced', ', to serve (why not make it festive and use pigs in blankets?)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerBakedCamembertbroken-e3bc47c.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/air-fryer-baked-camembert
Air fryer apple & cinnamon tarts,Easy,Serves 6,Visit us on Pinterest,0 reviews,True,False,False,False,False,Prep:20 mins,,"['ready-rolled puff pastry', '3 apples', 'lemon juice', '1 ½ tsp cinnamon', '40g caster sugar', '1 egg or 3 tbsp milk, to glaze', 'icing sugar, to decorate (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerAppleCinnamonTarts-07ae2eb.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/air-fryer-apple-cinnamon-tarts
Air fryer sticky toffee pudding,Easy,Serves 4,Visit us on Pinterest,0 reviews,False,False,False,False,False,Prep:15 mins,,"['80g pitted dates ', '100g salted butter, softened, plus extra for the tin', '100g dark muscovado sugar', '2 eggs', '1 tsp  vanilla extract', '100g self-raising flour', '½ tsp  bicarbonate of soda', 'mixed spice', ' or double cream, to serve', '100g dark muscovado sugar', '25g salted butter', '200ml double cream']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerStickyToffeePudding-999439d.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/air-fryer-sticky-toffee-pudding
Chocolate fondants,Easy,Serves 4,Visit us on Pinterest,0 reviews,True,False,False,False,False,Prep:15 mins,,"['100g unsalted butter, diced, plus 20g melted for greasing', 'cocoa powder', '100g dark chocolate, broken into pieces', '2 eggs', '100g light brown soft sugar', '1 tbsp plain flour, sifted', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerChocFondantscream-6ed2562.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/air-fryer-chocolate-fondants-2
